upper_power(kW), lower_power(kW), upper_energy(kWh), lower_energy(kWh)
225.000000, -0.000000, 30.000000, -30.000000
218.475000, -6.525000, 30.000000, -30.000000
213.225000, -11.775000, 30.000000, -30.000000
216.900000, -8.100000, 27.000000, -27.000000
178.500000, -46.500000, 30.000000, -30.000000
215.475000, -9.525000, 30.000000, -30.000000
214.050000, -10.950000, 30.000000, -30.000000
214.575000, -10.425000, 30.000000, -30.000000
189.000000, -36.000000, 27.000000, -27.000000
171.600000, -53.400000, 27.000000, -27.000000
180.525000, -44.475000, 30.000000, -30.000000
182.025000, -42.975000, 28.800000, -28.800000
170.550000, -54.450000, 28.200000, -28.200000
186.675000, -38.325000, 30.000000, -30.000000
191.025000, -33.975000, 25.800000, -25.800000
177.600000, -47.400000, 30.000000, -30.000000
216.675000, -8.325000, 30.000000, -30.000000
190.200000, -34.800000, 30.000000, -30.000000
206.100000, -18.900000, 26.400000, -26.400000
190.200000, -34.800000, 30.000000, -30.000000
165.075000, -59.925000, 29.400000, -29.400000
183.225000, -41.775000, 30.000000, -30.000000
219.000000, -6.000000, 30.000000, -30.000000
221.175000, -3.825000, 30.000000, -30.000000
206.625000, -18.375000, 30.000000, -30.000000
218.775000, -6.225000, 30.000000, -30.000000
204.150000, -20.850000, 30.000000, -30.000000
211.725000, -13.275000, 30.000000, -30.000000
209.475000, -15.525000, 30.000000, -30.000000
213.300000, -11.700000, 30.000000, -30.000000
207.825000, -17.175000, 30.000000, -30.000000
195.750000, -29.250000, 23.400000, -23.400000
150.975000, -74.025000, 28.200000, -28.200000
184.650000, -40.350000, 25.200000, -25.200000
183.375000, -41.625000, 29.400000, -29.400000
213.675000, -11.325000, 24.600000, -24.600000
157.500000, -67.500000, 26.400000, -26.400000
174.225000, -50.775000, 30.000000, -30.000000
188.925000, -36.075000, 28.800000, -28.800000
193.725000, -31.275000, 27.000000, -27.000000
173.775000, -51.225000, 28.800000, -28.800000
176.250000, -48.750000, 30.000000, -30.000000
202.875000, -22.125000, 30.000000, -30.000000
183.150000, -41.850000, 30.000000, -30.000000
186.525000, -38.475000, 30.000000, -30.000000
203.250000, -21.750000, 30.000000, -30.000000
210.225000, -14.775000, 30.000000, -30.000000
199.650000, -25.350000, 30.000000, -30.000000
224.250000, -0.750000, 30.000000, -30.000000
216.225000, -8.775000, 30.000000, -30.000000
214.650000, -10.350000, 30.000000, -30.000000
209.325000, -15.675000, 30.000000, -30.000000
202.200000, -22.800000, 24.000000, -24.000000
152.850000, -72.150000, 30.000000, -30.000000
181.350000, -43.650000, 26.400000, -26.400000
187.950000, -37.050000, 28.800000, -28.800000
177.225000, -47.775000, 30.000000, -30.000000
195.225000, -29.775000, 27.000000, -27.000000
193.275000, -31.725000, 30.000000, -30.000000
199.725000, -25.275000, 30.000000, -30.000000
197.100000, -27.900000, 30.000000, -30.000000
206.325000, -18.675000, 28.800000, -28.800000
196.725000, -28.275000, 30.000000, -30.000000
214.800000, -10.200000, 30.000000, -30.000000
178.125000, -46.875000, 30.000000, -30.000000
179.175000, -45.825000, 30.000000, -30.000000
189.000000, -36.000000, 30.000000, -30.000000
184.575000, -40.425000, 28.800000, -28.800000
188.550000, -36.450000, 30.000000, -30.000000
194.025000, -30.975000, 27.000000, -27.000000
206.175000, -18.825000, 30.000000, -30.000000
219.000000, -6.000000, 30.000000, -30.000000
217.950000, -7.050000, 30.000000, -30.000000
203.250000, -21.750000, 30.000000, -30.000000
211.275000, -13.725000, 30.000000, -30.000000
212.250000, -12.750000, 27.600000, -27.600000
196.575000, -28.425000, 27.600000, -27.600000
169.125000, -55.875000, 30.000000, -30.000000
189.450000, -35.550000, 26.400000, -26.400000
179.700000, -45.300000, 29.400000, -29.400000
198.900000, -26.100000, 28.800000, -28.800000
219.825000, -5.175000, 30.000000, -30.000000
206.250000, -18.750000, 28.800000, -28.800000
183.675000, -41.325000, 30.000000, -30.000000
204.450000, -20.550000, 30.000000, -30.000000
215.475000, -9.525000, 30.000000, -30.000000
200.625000, -24.375000, 28.200000, -28.200000
205.875000, -19.125000, 30.000000, -30.000000
187.575000, -37.425000, 30.000000, -30.000000
182.250000, -42.750000, 27.000000, -27.000000
187.125000, -37.875000, 25.200000, -25.200000
185.400000, -39.600000, 30.000000, -30.000000
200.400000, -24.600000, 28.800000, -28.800000
207.000000, -18.000000, 27.600000, -27.600000
206.175000, -18.825000, 30.000000, -30.000000
202.050000, -22.950000, 30.000000, -30.000000
207.825000, -17.175000, 30.000000, -30.000000
212.925000, -12.075000, 30.000000, -30.000000
221.175000, -3.825000, 30.000000, -30.000000
217.500000, -7.500000, 27.000000, -27.000000
186.600000, -38.400000, 21.600000, -21.600000
132.975000, -92.025000, 26.400000, -26.400000
192.150000, -32.850000, 27.600000, -27.600000
173.025000, -51.975000, 28.800000, -28.800000
196.950000, -28.050000, 28.200000, -28.200000
203.400000, -21.600000, 30.000000, -30.000000
214.650000, -10.350000, 30.000000, -30.000000
199.875000, -25.125000, 30.000000, -30.000000
212.025000, -12.975000, 30.000000, -30.000000
207.825000, -17.175000, 28.800000, -28.800000
198.375000, -26.625000, 30.000000, -30.000000
197.025000, -27.975000, 30.000000, -30.000000
205.275000, -19.725000, 30.000000, -30.000000
196.725000, -28.275000, 28.200000, -28.200000
169.800000, -55.200000, 29.400000, -29.400000
189.975000, -35.025000, 30.000000, -30.000000
204.975000, -20.025000, 27.000000, -27.000000
202.725000, -22.275000, 30.000000, -30.000000
209.700000, -15.300000, 30.000000, -30.000000
207.375000, -17.625000, 30.000000, -30.000000
208.050000, -16.950000, 30.000000, -30.000000
222.225000, -2.775000, 30.000000, -30.000000
214.950000, -10.050000, 30.000000, -30.000000
215.925000, -9.075000, 30.000000, -30.000000
204.900000, -20.100000, 30.000000, -30.000000
157.725000, -67.275000, 29.400000, -29.400000
170.325000, -54.675000, 27.600000, -27.600000
165.825000, -59.175000, 28.800000, -28.800000
209.175000, -15.825000, 30.000000, -30.000000
209.925000, -15.075000, 28.800000, -28.800000
213.150000, -11.850000, 29.400000, -29.400000
200.400000, -24.600000, 30.000000, -30.000000
205.875000, -19.125000, 28.800000, -28.800000
208.050000, -16.950000, 30.000000, -30.000000
215.025000, -9.975000, 30.000000, -30.000000
203.250000, -21.750000, 30.000000, -30.000000
207.975000, -17.025000, 30.000000, -30.000000
189.000000, -36.000000, 30.000000, -30.000000
175.650000, -49.350000, 25.200000, -25.200000
184.800000, -40.200000, 30.000000, -30.000000
214.425000, -10.575000, 30.000000, -30.000000
205.050000, -19.950000, 28.200000, -28.200000
200.475000, -24.525000, 27.000000, -27.000000
203.175000, -21.825000, 30.000000, -30.000000
216.600000, -8.400000, 30.000000, -30.000000
216.750000, -8.250000, 30.000000, -30.000000
210.600000, -14.400000, 30.000000, -30.000000
214.575000, -10.425000, 30.000000, -30.000000
213.750000, -11.250000, 30.000000, -30.000000
186.150000, -38.850000, 24.000000, -24.000000
141.300000, -83.700000, 26.400000, -26.400000
159.525000, -65.475000, 30.000000, -30.000000
179.325000, -45.675000, 28.800000, -28.800000
197.925000, -27.075000, 30.000000, -30.000000
217.050000, -7.950000, 29.400000, -29.400000
213.900000, -11.100000, 29.400000, -29.400000
200.250000, -24.750000, 30.000000, -30.000000
201.750000, -23.250000, 30.000000, -30.000000
194.100000, -30.900000, 30.000000, -30.000000
212.175000, -12.825000, 30.000000, -30.000000
208.050000, -16.950000, 29.400000, -29.400000
212.250000, -12.750000, 30.000000, -30.000000
189.975000, -35.025000, 30.000000, -30.000000
197.925000, -27.075000, 30.000000, -30.000000
201.075000, -23.925000, 30.000000, -30.000000
202.575000, -22.425000, 30.000000, -30.000000
215.250000, -9.750000, 30.000000, -30.000000
218.475000, -6.525000, 30.000000, -30.000000
210.150000, -14.850000, 30.000000, -30.000000
206.400000, -18.600000, 30.000000, -30.000000
212.850000, -12.150000, 30.000000, -30.000000
215.550000, -9.450000, 28.200000, -28.200000
204.900000, -20.100000, 30.000000, -30.000000
216.825000, -8.175000, 30.000000, -30.000000
178.050000, -46.950000, 30.000000, -30.000000
183.000000, -42.000000, 28.800000, -28.800000
194.925000, -30.075000, 28.200000, -28.200000
178.200000, -46.800000, 28.800000, -28.800000
181.275000, -43.725000, 30.000000, -30.000000
194.700000, -30.300000, 27.000000, -27.000000
184.050000, -40.950000, 26.400000, -26.400000
200.475000, -24.525000, 30.000000, -30.000000
197.250000, -27.750000, 30.000000, -30.000000
191.475000, -33.525000, 30.000000, -30.000000
216.750000, -8.250000, 30.000000, -30.000000
204.675000, -20.325000, 30.000000, -30.000000
199.575000, -25.425000, 28.200000, -28.200000
193.425000, -31.575000, 30.000000, -30.000000
194.850000, -30.150000, 30.000000, -30.000000
207.450000, -17.550000, 30.000000, -30.000000
221.475000, -3.525000, 30.000000, -30.000000
205.875000, -19.125000, 30.000000, -30.000000
214.350000, -10.650000, 30.000000, -30.000000
214.125000, -10.875000, 30.000000, -30.000000
213.075000, -11.925000, 30.000000, -30.000000
211.125000, -13.875000, 30.000000, -30.000000
207.600000, -17.400000, 30.000000, -30.000000
208.350000, -16.650000, 30.000000, -30.000000
214.575000, -10.425000, 30.000000, -30.000000
195.975000, -29.025000, 28.800000, -28.800000
174.600000, -50.400000, 28.800000, -28.800000
171.000000, -54.000000, 27.600000, -27.600000
175.650000, -49.350000, 29.400000, -29.400000
200.550000, -24.450000, 28.800000, -28.800000
186.900000, -38.100000, 30.000000, -30.000000
178.200000, -46.800000, 26.400000, -26.400000
176.325000, -48.675000, 25.800000, -25.800000
187.725000, -37.275000, 30.000000, -30.000000
201.525000, -23.475000, 27.000000, -27.000000
176.550000, -48.450000, 27.000000, -27.000000
179.550000, -45.450000, 30.000000, -30.000000
180.225000, -44.775000, 30.000000, -30.000000
190.875000, -34.125000, 30.000000, -30.000000
204.450000, -20.550000, 30.000000, -30.000000
208.575000, -16.425000, 30.000000, -30.000000
221.100000, -3.900000, 30.000000, -30.000000
215.250000, -9.750000, 30.000000, -30.000000
209.250000, -15.750000, 30.000000, -30.000000
213.525000, -11.475000, 30.000000, -30.000000
215.850000, -9.150000, 27.000000, -27.000000
193.500000, -31.500000, 30.000000, -30.000000
195.975000, -29.025000, 29.400000, -29.400000
179.400000, -45.600000, 26.400000, -26.400000
186.900000, -38.100000, 28.200000, -28.200000
191.100000, -33.900000, 29.400000, -29.400000
195.075000, -29.925000, 30.000000, -30.000000
203.775000, -21.225000, 25.200000, -25.200000
182.775000, -42.225000, 28.800000, -28.800000
179.550000, -45.450000, 30.000000, -30.000000
211.500000, -13.500000, 30.000000, -30.000000
225.000000, -0.000000, 30.000000, -30.000000
206.025000, -18.975000, 30.000000, -30.000000
185.775000, -39.225000, 30.000000, -30.000000
198.900000, -26.100000, 30.000000, -30.000000
192.375000, -32.625000, 29.400000, -29.400000
172.650000, -52.350000, 30.000000, -30.000000
193.575000, -31.425000, 28.800000, -28.800000
209.250000, -15.750000, 30.000000, -30.000000
212.175000, -12.825000, 30.000000, -30.000000
208.575000, -16.425000, 30.000000, -30.000000
204.300000, -20.700000, 30.000000, -30.000000
215.325000, -9.675000, 30.000000, -30.000000
218.700000, -6.300000, 30.000000, -30.000000
217.500000, -7.500000, 29.400000, -29.400000
202.050000, -22.950000, 27.600000, -27.600000
178.800000, -46.200000, 27.000000, -27.000000
176.775000, -48.225000, 26.400000, -26.400000
158.625000, -66.375000, 28.800000, -28.800000
213.225000, -11.775000, 30.000000, -30.000000
211.725000, -13.275000, 30.000000, -30.000000
200.250000, -24.750000, 30.000000, -30.000000
190.425000, -34.575000, 30.000000, -30.000000
213.975000, -11.025000, 30.000000, -30.000000
206.025000, -18.975000, 30.000000, -30.000000
204.075000, -20.925000, 30.000000, -30.000000
198.750000, -26.250000, 30.000000, -30.000000
210.825000, -14.175000, 28.200000, -28.200000
200.025000, -24.975000, 28.800000, -28.800000
191.175000, -33.825000, 30.000000, -30.000000
176.550000, -48.450000, 27.000000, -27.000000
191.550000, -33.450000, 30.000000, -30.000000
202.725000, -22.275000, 30.000000, -30.000000
210.450000, -14.550000, 30.000000, -30.000000
222.225000, -2.775000, 30.000000, -30.000000
220.350000, -4.650000, 30.000000, -30.000000
209.475000, -15.525000, 30.000000, -30.000000
212.700000, -12.300000, 30.000000, -30.000000
202.650000, -22.350000, 28.200000, -28.200000
197.850000, -27.150000, 30.000000, -30.000000
190.725000, -34.275000, 30.000000, -30.000000
190.200000, -34.800000, 24.600000, -24.600000
157.050000, -67.950000, 30.000000, -30.000000
185.100000, -39.900000, 28.800000, -28.800000
194.625000, -30.375000, 30.000000, -30.000000
213.525000, -11.475000, 30.000000, -30.000000
211.425000, -13.575000, 30.000000, -30.000000
194.025000, -30.975000, 30.000000, -30.000000
197.850000, -27.150000, 30.000000, -30.000000
214.725000, -10.275000, 30.000000, -30.000000
196.275000, -28.725000, 30.000000, -30.000000
192.675000, -32.325000, 30.000000, -30.000000
183.150000, -41.850000, 30.000000, -30.000000
203.700000, -21.300000, 30.000000, -30.000000
196.725000, -28.275000, 28.800000, -28.800000
182.775000, -42.225000, 28.800000, -28.800000
197.100000, -27.900000, 30.000000, -30.000000
218.775000, -6.225000, 30.000000, -30.000000
214.800000, -10.200000, 30.000000, -30.000000
202.650000, -22.350000, 30.000000, -30.000000
218.250000, -6.750000, 30.000000, -30.000000
214.575000, -10.425000, 30.000000, -30.000000
215.700000, -9.300000, 30.000000, -30.000000
201.300000, -23.700000, 29.400000, -29.400000
171.300000, -53.700000, 28.800000, -28.800000
171.525000, -53.475000, 27.600000, -27.600000
169.650000, -55.350000, 30.000000, -30.000000
218.550000, -6.450000, 30.000000, -30.000000
213.825000, -11.175000, 30.000000, -30.000000
208.425000, -16.575000, 28.800000, -28.800000
203.775000, -21.225000, 30.000000, -30.000000
