State,	County,	BA Climate Zone,	IECC Climate Zone,	IECC Moisture Regime
AL,	Autauga,	Hot-Humid,	3,	A
AL,	Baldwin,	Hot-Humid,	2,	A
AL,	Barbour,	Hot-Humid,	3,	A
AL,	Bibb,	Mixed-Humid,	3,	A
AL,	Blount,	Mixed-Humid,	3,	A
AL,	Bullock,	Hot-Humid,	3,	A
AL,	Butler,	Hot-Humid,	3,	A
AL,	Calhoun,	Mixed-Humid,	3,	A
AL,	Chambers,	Mixed-Humid,	3,	A
AL,	Cherokee,	Mixed-Humid,	3,	A
AL,	Chilton,	Mixed-Humid,	3,	A
AL,	Choctaw,	Hot-Humid,	3,	A
AL,	Clarke,	Hot-Humid,	3,	A
AL,	Clay,	Mixed-Humid,	3,	A
AL,	Cleburne,	Mixed-Humid,	3,	A
AL,	Coffee,	Hot-Humid,	3,	A
AL,	Colbert,	Mixed-Humid,	3,	A
AL,	Conecuh,	Hot-Humid,	3,	A
AL,	Coosa,	Mixed-Humid,	3,	A
AL,	Covington,	Hot-Humid,	3,	A
AL,	Crenshaw,	Hot-Humid,	3,	A
AL,	Cullman,	Mixed-Humid,	3,	A
AL,	Dale,	Hot-Humid,	3,	A
AL,	Dallas,	Hot-Humid,	3,	A
AL,	DeKalb,	Mixed-Humid,	3,	A
AL,	Elmore,	Hot-Humid,	3,	A
AL,	Escambia,	Hot-Humid,	3,	A
AL,	Etowah,	Mixed-Humid,	3,	A
AL,	Fayette,	Mixed-Humid,	3,	A
AL,	Franklin,	Mixed-Humid,	3,	A
AL,	Geneva,	Hot-Humid,	3,	A
AL,	Greene,	Mixed-Humid,	3,	A
AL,	Hale,	Mixed-Humid,	3,	A
AL,	Henry,	Hot-Humid,	3,	A
AL,	Houston,	Hot-Humid,	3,	A
AL,	Jackson,	Mixed-Humid,	3,	A
AL,	Jefferson,	Mixed-Humid,	3,	A
AL,	Lamar,	Mixed-Humid,	3,	A
AL,	Lauderdale,	Mixed-Humid,	3,	A
